State,Grocery Store,Turkey,Green Beans,Green Beans,Stuffing Mix,Stuffing Mix,Brown Gravy Mix - Private Label,Brown Gravy Mix,Cream of Mushroom,Cream of Mushroom,Mac&. Cheese,Mac&. Cheese,Sweet Rolls,Sweet Rolls,Cranberry Sauce,Cranberry Sauce
New Jersey,Shoprite,$19.08,$0.99,$1.79,$1.29,$2.00,$0.79,$0.99,$1.29,$1.67,$0.79,$1.49,N/A,$2.99,$0.99,$1.88
California,Albertsons,$27.86,$1.50,$1.50,$2.00,$2.49,$1.00,$0.99,$1.50,$1.79,$1.00,$1.25,N/A,$4.99,$1.99,$3.99
Idaho,Winco (not statistically sig),Unable to shop online?!,Unable to shop online?!,Unable to shop online?!,Unable to shop online?!,Unable to shop online?!,Unable to shop online?!,Unable to shop online?!,Unable to shop online?!,Unable to shop online?!,Unable to shop online?!,Unable to shop online?!,Unable to shop online?!,Unable to shop online?!,Unable to shop online?!,Unable to shop online?!
Montana,Albertsons,$27.86,$0.99,$1.29,$1.99,$1.99,$0.89,$1.00,$1.19,$1.49,$1.19,$1.29,N/A,$3.99,$2.79,$2.50
Nevada,Kroger,$9.48,$0.89,$1.29,$1.00,$2.00,$0.50,$2.00,$1.00,$1.29,$0.89,$1.25,N/A,$7.19,$1.99,$1.99
New Mexico,Albertsons,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip
North Dakota,Albertsons,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip
Utah,Kroger,$11.88,$0.89,$1.29,$1.00,$2.00,$0.50,$2.00,$1.00,$1.29,$0.79,$1.25,N/A,$7.19,$2.00,$1.99
Washington,Albertsons,$27.86,$1.49,$1.67,$2.00,$2.50,$1.29,$1.00,$1.25,$1.99,$0.99,$1.25,N/A,$4.49,$2.00,$2.50
Wyoming,Albertsons,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip
Oklahoma,ALDI,$10.95,$0.55,N/A,$0.89,$1.98,$0.29,N/A,$0.68,$1.15,$0.65,N/A,N/A,$1.99,$1.75,$1.99
Minnesota,Cub,$23.88,$0.79,$1.49,$2.29,$2.50,$0.69,$0.99,$1.49,$1.49,$0.79,$1.59,N/A,$4.99,$1.89,$1.99
Kansas,Dillons / kroger,$10.68,$0.95,$1.29,$1.00,$2.00,$0.50,$1.00,$1.25,$1.29,N/A,$1.25,N/A,$4.49,$1.99,$1.99
Alabama,Publix ,N/A,$1.31,$1.11,N/A,$3.53,$0.98,$1.35,$1.67,$2.11,$1.07,$1.75,N/A,$5.97,$1.49,$2.59
Louisiana,Winn-Dixie,$11.88,$0.89,$1.99,$1.49,$3.39,$0.79,$1.29,$0.99,$1.99,$0.89,$2.99,N/A,$5.59,$1.79,$2.79
Maryland,Giant,$3.24,$0.89,$1.00,$1.00,$2.00,$0.79,$0.88,$0.99,$1.25,$0.89,$1.50,N/A,$4.00,$1.66,$2.00
Delaware,Food Lion,$11.88,$1.25,$1.50,$1.19,$2.00,$0.89,$0.99,$1.29,$1.50,$0.99,$1.29,$2.99,$4.69,$1.50,$2.18
North Carolina,Food Lion,$11.88,$1.25,$1.19,$0.79,$2.00,$0.39,$0.99,$1.29,$1.26,$0.57,$1.29,$1.99,$4.69,$1.50,$2.18
South Carolina,Food Lion,$11.88,$1.25,$2.19,$1.19,$2.00,$0.89,$0.99,$1.29,$1.50,$0.99,$1.29,$2.99,$4.69,$1.50,$2.18
Virginia,Food Lion,$11.88,$1.25,$1.19,$0.79,$2.00,$0.39,$0.99,$1.29,$1.26,$0.57,$1.29,$1.99,$4.69,$1.50,$2.18
Oregon,Fred Meyer / Kroger,$11.88,$0.89,$1.29,$1.00,$2.00,$0.50,$2.00,$1.00,$1.29,N/A,$1.25,N/A,$3.49,$1.79,$1.99
Alaska,Fred Meyer / Kroger,$11.88,$1.09,$1.79,$1.50,$2.50,$1.29,$1.25,$1.25,$1.59,$1.00,$1.25,N/A,$5.49,$2.39,$2.49
District of Columbia,Giant Food,$3.78,$0.89,$1.25,$1,$2,$0.79,$0.88,$0.99,$1.50,$0.89,$1.50,N/A,$5.00,$1.66,$2
Pennsylvania,Giant Food,$29.88,$0.79,$1.00,$1.39,$2.00,$0.50,$0.89,$1.00,$1.00,$0.75,$1.33,N/A,$4.00,$1.00,$2.00
Maine,Shaw,$17.88,$1.00,$1.79,$2.49,$2.50,$0.99,$1.00,$1.49,$1.49,N/A,$1.99,N/A,$3.99,$1.50,$1.99
Texas,HEB,$12.13,$0.52,$1.30,$1.01,$2.06,$0.33,$0.87,$1.02,$1.79,$0.71,$1.29,$3.39,$4.87,N/A,$2.06
Missouri,Hy-Vee,$28.91,$0.89,$1.49,$1.49,$2.49,$0.79,$1.09,$0.89,$1.29,$0.69,$1.24,N/A,$4.99,$1.99,$1.78
Nebraska,Hy-Vee,$21.61,$1.00,$1.49,$1.48,$2.49,$0.79,$1.09,$0.89,$1.29,$0.69,$1.24,N/A,$4.99,$1.98,$1.78
Iowa,Hy-Vee,$29.05,$0.89,$1.49,$1.49,$2.49,$0.79,$1.09,$0.89,$1.29,$0.69,$1.24,N/A,$4.99,$1.98,$1.78
South Dakota,Hy-Vee,$11.88,$0.89,$1.49,$1.49,$2.49,$0.79,$1.09,$0.89,$1.29,$0.69,$1.24,N/A,$4.99,$1.98,$1.79
Illinois,Jewel-Osco,$7.67,$1.29,$2.49,$2.19,$2.79,$0.99,$1.00,$1.29,$1.99,$1.09,$1.25,N/A,$4.50,$1.79,$1.99
Colorado,King Soopers,$15.36,$0.89,$1.29,$1.00,$2.00,$0.50,$1.00,$1.00,$1.29,$0.89,$1.25,N/A,$4.99,$1.99,$1.99
Indiana,Kroger,$16.68,$0.89,$1.29,$1.00,$2.00,$0.50,$1.00,$1.00,$1.29,$0.89,$1.25,N/A,$4.49,$1.99,$1.99
Georgia,Kroger,$15.48,$0.89,$1.29,$1.00,$2.00,$0.50,$1.00,$1.00,$1.29,$0.89,$1.25,N/A,$4.49,$1.99,$1.99
Kentucky,Kroger,$17.88,$0.89,$1.29,$1.00,$2.00,$0.50,$1.00,$1.00,$1.29,$0.89,$1.25,N/A,$4.49,$1.99,$1.99
Michigan,Meijer ,$7.35,$0.69,$1.00,$1.00,$1.99,$0.49,$0.99,$0.69,$1.00,$0.65,$1.25,N/A,$4.89,$1.59,$1.99
Ohio,Kroger,$9.48,$0.89,$1.29,$1.00,$2.00,$0.50,$1.00,$1.00,$1.29,$0.89,$1.25,N/A,$4.49,$1.99,$1.99
Tennessee,Kroger,$13.08,$0.89,$1.29,$1.00,$2.00,$0.50,$1.00,$1.00,$1.29,$0.89,$1.25,N/A,$4.49,$1.49,$1.99
West Virginia,Kroger,$13.08,$0.89,$1.29,$1.00,$2.00,$0.50,$1.00,$1.00,$1.29,$0.89,$1.25,N/A,$4.49,$1.99,$1.99
New Hampshire,Shaw's,$17.88,$1.00,$1.79,$2.49,$2.50,$0.99,$1.00,$1.49,$1.49,N/A,$1.99,N/A,$3.99,$1.50,$1.99
Florida,Publix,N/A,$1.31,$1.97,N/A,$3.53,$0.98,$1.35,$1.67,$2.11,$1.07,$1.37,N/A,$5.97,$2.21,$2.59
Arizona,Kroger,$13.08,$0.89,$1.29,$1.00,$2.00,$0.50,$1.00,$1.00,$1.29,$0.89,$1.25,N/A,$4.49,$1.99,$1.99
Hawaii,Safeway,$27.86,$2.39,$2.00,$2.49,$2.50,$1.79,$1.29,$2.49,$2.00,$1.79,$1.79,N/A,$5.99,$3.99,$3.50
Vermont,Shaw's,$17.88,$1,$1.79,$2.49,$2.50,$0.99,$1.00,$1.49,$1.49,N/A,$1.99,N/A,$3.99,$1.50,$1.99
Massachusetts,Stop & Shop,$21.97,$0.89,$1.99,$2.59,$1.99,$1.09,$1.29,$1.19,$0.99,$0.99,$1.49,N/A,$3.49,$1.79,$1.99
Connecticut,Stop & Shop,$6.37,$0.89,$0.99,$1.79,$1.99,$0.59,$1.29,$1.19,$1.69,$0.99,$1.49,N/A,$4.00,$1.59,$1.99
Rhode Island,Stop & Shop,$6.37,$0.89,$0.99,$1.29,$1.99,$0.59,$1.19,$0.99,unable to load,$0.79,unable to load,N/A,unable to load,unable to load,unable to load
Arkansas,Kroger,$11.88,$0.89,$1.29,$1.00,$2.00,$0.50,$2.00,$1.00,$1.29,$0.89,$1.25,N/A,$7.19,$1.99,$1.99
Mississippi,Kroger,$15.48,$0.89,$1.29,$1.00,$2.00,$0.50,$1.00,$1.00,$1.29,$0.89,$1.25,N/A,$4.49,$1.99,$1.99
Wisconsin,Aldi,$10.95,$0.55,N/A,$0.75,N/A,$0.29,N/A,$0.68,$1.15,$0.65,N/A,N/A,$1.99,$1.75,$1.99
New York,Wegmans,$40.34,$1.19,$2.29,$2.29,$3.79,N/A,$0.99,$1.49,$1.49,$1.09,$2.29,$4.09,N/A,$2.89,N/A